"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Central Europe and the Baltics","CEB","Cereal production (metric tons)","AG.PRD.CREL.MT","","37314040","35018224","36600409","37350064","41566188","44139148","44241723","44456063","47189498","41322641","51295448","56271908","54697027","55604691","54755880","60494032","57926590","60727030","56320928","59359513","57432196","66006856","61460962","69416772","63435998","67554227","64393196","66573809","70280804","65874490","71934131.61","55532051.3","70674726.91","75279886.55","80133728.87","71697770.96","86942159.48","79227745.53","75782501.07","63008050.19","84688565.99","77474416.8","63692393.97","99059105.12","88094731.15","74034451.82","66934778.38","91143023.05","86024254.53","81280936.85","89668739.39","79411882.07","94100902.67","105877821.22","96099251.57","103432662.33","105791344.31","104691470","111572940","106227850","113891010","98296740","107057950","17049450","",
"Switzerland","CHE","Cereal production (metric tons)","AG.PRD.CREL.MT","","517800","697400","514700","632200","557900","566600","672800","652600","640400","633700","743000","738400","749600","856800","756900","795500","690000","835100","875000","789100","863500","928900","899600","1118200","1054400","959900","939000","1243700","1410700","1268000","1273639","1182772","1252968","1213740","1245612","1317471","1194083","1240975","1028481","1169500","1079600","1087700","847200","1089000","1056500","1013200","1012697","1002471","1006184","924003","999472.67","950518.46","867293.65","994310.67","909943.14","743880","976614","895098","932966","1010995","783794","865060","809466","","",
"Channel Islands","CHI","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Cereal production (metric tons)","AG.PRD.CREL.MT","","1476591","1389968","1561408","1656255","1620504","1914918","1890890","1961730","1590124","1840835","1931264","1827016","1320638","1653790","1671151","1406210","1977820","1483220","1936840","1754570","1535090","1447650","1437080","2115610","2359916","2674806","2819062","2799539","3147704","2980600","2863844","2900504","2643035","2618939","2765799","2577562","3077333","3098078","2167950","2589760","3115635","3380192","3692845","3999404","3989070","3565734","2855245","3302330","3125486","3588461.6","3950348","3464791","4004023","3478752","3788921.4","3872402.5","3471759.7","3661684.5","3296214.6","2761553.53","3035972.47","2588504.75","2497164.62","2555898.6","",
"China","CHN","Cereal production (metric tons)","AG.PRD.CREL.MT","","107000000","117640008","134720016","149430000","159090000","174500000","178020016","173855008","173470016","197635008","209130016","203340016","218890016","231390016","241191200","246655325","239825142","269820586","289520560","277190199","283330308","312085310","342270058","362820018","336761042","349163856","356365875","348996930","364819680","403001409.64","396095011","401702616","405173951","393891055","416113700","451045054.41","443493425","456246878","453040320","405223840","396483180","396676265","374819300","411570400","427760500","451108151.94","456668100","479263400","482657000","497807900","521255500","541643200","555365200","560519000","618165313.27","614697468.76","614070169.03","609946694.21","613438323.23","616632008.31","632772813.74","633134294.88","641731705.88","","",
"Cote d'Ivoire","CIV","Cereal production (metric tons)","AG.PRD.CREL.MT","","294000","451000","440600","478900","481500","524600","620600","625600","617800","591900","711400","585900","613400","693900","837525","780125","809385","846450","889850","859900","846680","934475","818885","1096250","1082424","1043119","1079837","1150577","1194341","1241131","1224938","1245791","1267664","1290241","1321407","1354230","1221428","1243200","1264364","1285904","1307824","1330096","1334280","1378128","1424903","1441779","1224570","1408447","1428840","1961771","1607414","2332512","2712481","2855919","3308600","3159200","3290400","3214062","3139196","2817182","2956948","3065235","3390058.49","","",
"Cameroon","CMR","Cereal production (metric tons)","AG.PRD.CREL.MT","","703583","689048","700750","694099","673250","725794","631191","643847","788129","737727","798840","777845","769867","860079","1102526","834899","846930","887449","872186","891774","834621","961200","889155","657375","815330","1094453","714801","899635","857532","816296","994961.9","1019074.53","986587.16","960797.51","1179857.54","1296414","1267561.59","1411778.52","1185283.69","1275031.18","1356269.08","1498928.47","1587074.45","1684566.14","1873820.65","2096108.11","2368429.65","2474095.43","2820273.57","3011835","2988076","3229408","3197150","3357882.36","3645512.68","3716222.4","3692886.95","4063863.6","3889193","3539714.87","3715922.22","3843696.3","3841420.33","3846198.51","",
"Congo, Dem. Rep.","COD","Cereal production (metric tons)","AG.PRD.CREL.MT","","503194","491776","456941","458636","448234","532604","558240","654274","645935","666231","672000","701555","712224","735654","759021","773400","779900","770800","868800","889000","940900","981290","1010485","1057866","1141300","1192860","1256060","1332440","1414920","1490658","1458967.22","1502518.78","1607622","1659940","1479045.06","1556773.16","1531845.47","1621402.78","1592753","1572045","1546061","1520470","1521340","1522295","1523240","1524145","1525030","1525860","1526862","2591311","2656556.47","2644174.79","2858786.59","3097523.77","3120941.02","3293367.73","3459463.81","3533729.68","3576504.53","3720558.56","3882129.38","4035103.93","4207508.96","4388403.09","",
"Congo, Rep.","COG","Cereal production (metric tons)","AG.PRD.CREL.MT","","5000","5050","8800","9000","10000","11000","12000","15500","10000","8000","10000","11701","12229","18431","20650","20860","21011","13500","20000","11713","13400","8472","12387","14371","16048","22121","19942","20805","21691","6014","6225","6442","8663","8909.85","11143.25","11680.64","11934.03","12838.4","9537.76","9767.33","18024.71","19205.62","22188.46","22002.71","22090.42","21700","21323.02","22950","23900","24795.16","25268.64","26547.44","28119.85","26730.11","27620.12","28896.54","29874.2","29912.76","30925.48","30164.32","30702.74","30222.69","30358.59","","",
"Colombia","COL","Cereal production (metric tons)","AG.PRD.CREL.MT","","1476921","1616500","1551280","1826649","1812755","1810000","1776700","1952100","1839285","1888195","2123548","2227384","2349871","2854540","2841330","2909420","2672126","3415824","3381881","3224948","3409936","3617861","3379234","3257772","3144300","3067149","3598000","3553800","4007400","4314100","3947900","3673663","3521972","3630507","3435137","3177322","3207093","2892815","3407331","3619055","3548898","3621268","4284960","4438852","4098565","3685423","4013252","4323748","4178754","3535917","3798448.71","3898180.03","3864355.74","3698781.08","3603471.59","3982827.07","4057766.61","3995557.73","4061519.21","4458460.35","4556233.19","4558570.46","4765426","4342473.35","",
